student_id,school,year_enrollment,project
1200256,"Literature, Science, and the Arts",20,Undergraduate
1200257,"Literature, Science, and the Arts",20,Undergraduate
1200258,"Literature, Science, and the Arts",20,Undergraduate
1200259,Engineering,20,Undergraduate
1200260,Engineering,20,Undergraduate
1200261,Education,20,Undergraduate
1200262,"Literature, Science, and the Arts",20,Undergraduate
1200263,"Literature, Science, and the Arts",20,Undergraduate
1200264,"Literature, Science, and the Arts",20,Undergraduate
1200265,Medicine,20,Undergraduate
1200266,"Literature, Science, and the Arts",20,Undergraduate
1200267,"Literature, Science, and the Arts",20,Undergraduate
1200268,"Literature, Science, and the Arts",20,Undergraduate
1200269,"Literature, Science, and the Arts",20,Undergraduate
1200270,Education,20,Undergraduate
1200271,Education,20,Undergraduate
1200272,"Literature, Science, and the Arts",20,Undergraduate
1200273,Education,20,Undergraduate
1200274,"Literature, Science, and the Arts",20,Undergraduate
1200275,Engineering,20,Undergraduate
1200276,"Literature, Science, and the Arts",20,Undergraduate
1200277,Education,20,Undergraduate
1200278,Engineering,20,Undergraduate
1200279,Engineering,20,Undergraduate
1200280,Education,20,Undergraduate
1200281,Medicine,20,Undergraduate
1200282,"Literature, Science, and the Arts",20,Undergraduate
1200283,Education,20,Undergraduate
1200284,Education,20,Undergraduate
1200285,"Literature, Science, and the Arts",20,Undergraduate
1200286,"Literature, Science, and the Arts",20,Undergraduate
1200287,Medicine,20,Undergraduate
1200288,"Literature, Science, and the Arts",20,Undergraduate
1200289,"Literature, Science, and the Arts",20,Undergraduate
1200290,Engineering,20,Undergraduate
1200291,Medicine,20,Undergraduate
1200292,"Literature, Science, and the Arts",20,Undergraduate
1200293,"Literature, Science, and the Arts",20,Undergraduate
1200294,"Literature, Science, and the Arts",20,Undergraduate
1200295,Education,20,Undergraduate
1200296,"Literature, Science, and the Arts",20,Undergraduate
1200297,"Literature, Science, and the Arts",20,Undergraduate
1200298,"Literature, Science, and the Arts",20,Undergraduate
1200299,Medicine,20,Undergraduate
1200300,Medicine,20,Undergraduate
1200301,"Literature, Science, and the Arts",20,Undergraduate
1200302,"Literature, Science, and the Arts",20,Undergraduate
1200303,"Literature, Science, and the Arts",20,Undergraduate
1200304,"Literature, Science, and the Arts",20,Undergraduate
1200305,"Literature, Science, and the Arts",20,Undergraduate
1200306,"Literature, Science, and the Arts",20,Undergraduate
1200307,"Literature, Science, and the Arts",20,Undergraduate
1200308,"Literature, Science, and the Arts",20,Undergraduate
1200309,"Literature, Science, and the Arts",20,Undergraduate
1200310,Medicine,20,Undergraduate
1200311,"Literature, Science, and the Arts",20,Undergraduate
1200312,"Literature, Science, and the Arts",20,Undergraduate
1200313,Engineering,20,Undergraduate
1200314,Engineering,20,Undergraduate
1200315,"Literature, Science, and the Arts",20,Undergraduate
1200316,Medicine,20,Undergraduate
1200317,Engineering,20,Undergraduate
1200318,Medicine,20,Undergraduate
1200319,"Literature, Science, and the Arts",20,Undergraduate
1200320,"Literature, Science, and the Arts",20,Undergraduate
1200321,"Literature, Science, and the Arts",20,Undergraduate
1200322,Education,20,Undergraduate
1200323,Education,20,Undergraduate
1200324,Education,20,Undergraduate
1200325,Engineering,20,Undergraduate
1200326,Medicine,20,Undergraduate
1200327,"Literature, Science, and the Arts",20,Undergraduate
1200328,"Literature, Science, and the Arts",20,Undergraduate
1200329,"Literature, Science, and the Arts",20,Undergraduate
1200330,"Literature, Science, and the Arts",20,Undergraduate
1200331,Medicine,20,Undergraduate
1200332,"Literature, Science, and the Arts",20,Undergraduate
1200333,Education,20,Undergraduate
1200334,"Literature, Science, and the Arts",20,Undergraduate
1200335,"Literature, Science, and the Arts",20,Undergraduate
1200336,Education,20,Undergraduate
1200337,"Literature, Science, and the Arts",20,Undergraduate
1200338,Education,20,Undergraduate
1200339,Medicine,20,Undergraduate
1200340,"Literature, Science, and the Arts",20,Undergraduate
1200341,"Literature, Science, and the Arts",20,Undergraduate
1200342,"Literature, Science, and the Arts",20,Undergraduate
1200343,"Literature, Science, and the Arts",20,Undergraduate
1200344,"Literature, Science, and the Arts",20,Undergraduate
1200345,"Literature, Science, and the Arts",20,Undergraduate
1200346,"Literature, Science, and the Arts",20,Undergraduate
1200347,"Literature, Science, and the Arts",20,Undergraduate
1200348,Education,20,Undergraduate
1200349,"Literature, Science, and the Arts",20,Undergraduate
1200350,"Literature, Science, and the Arts",20,Undergraduate
1200351,"Literature, Science, and the Arts",20,Undergraduate
1200352,Medicine,20,Undergraduate
1200353,Medicine,20,Undergraduate
1200354,"Literature, Science, and the Arts",20,Undergraduate
1200355,"Literature, Science, and the Arts",20,Undergraduate
1200356,Medicine,20,Undergraduate
1200357,"Literature, Science, and the Arts",20,Undergraduate
1200358,Medicine,20,Undergraduate
1200359,"Literature, Science, and the Arts",20,Undergraduate
1200360,"Literature, Science, and the Arts",20,Undergraduate
1200361,"Literature, Science, and the Arts",20,Undergraduate
1200362,Engineering,20,Undergraduate
1200363,Education,20,Undergraduate
1200364,"Literature, Science, and the Arts",20,Undergraduate
1200365,"Literature, Science, and the Arts",20,Undergraduate
1200366,Engineering,20,Undergraduate
1200367,"Literature, Science, and the Arts",20,Undergraduate
1200368,Medicine,20,Undergraduate
1200369,"Literature, Science, and the Arts",20,Undergraduate
1200370,Engineering,20,Undergraduate
1200371,"Literature, Science, and the Arts",20,Undergraduate
1200372,"Literature, Science, and the Arts",20,Undergraduate
1200373,Education,20,Undergraduate
1200374,"Literature, Science, and the Arts",20,Undergraduate
1200375,Engineering,20,Undergraduate
1200376,Medicine,20,Undergraduate
1200377,Medicine,20,Undergraduate
1200378,Engineering,20,Undergraduate
1200379,"Literature, Science, and the Arts",20,Undergraduate
1200380,"Literature, Science, and the Arts",20,Undergraduate
1200381,"Literature, Science, and the Arts",20,Undergraduate
1200382,"Literature, Science, and the Arts",20,Undergraduate
1200383,"Literature, Science, and the Arts",20,Undergraduate
1200384,"Literature, Science, and the Arts",20,Undergraduate
1200385,"Literature, Science, and the Arts",20,Undergraduate
1200386,"Literature, Science, and the Arts",20,Undergraduate
1200387,Education,20,Undergraduate
1200388,"Literature, Science, and the Arts",20,Undergraduate
1200389,Medicine,20,Undergraduate
1200390,"Literature, Science, and the Arts",20,Undergraduate
1200391,"Literature, Science, and the Arts",20,Undergraduate
1200392,"Literature, Science, and the Arts",20,Undergraduate
1200393,Medicine,20,Undergraduate
1200394,Engineering,20,Undergraduate
1200395,"Literature, Science, and the Arts",20,Undergraduate
1200396,"Literature, Science, and the Arts",20,Undergraduate
1200397,"Literature, Science, and the Arts",20,Undergraduate
1200398,"Literature, Science, and the Arts",20,Undergraduate
1200399,"Literature, Science, and the Arts",20,Undergraduate
1200400,"Literature, Science, and the Arts",20,Undergraduate
1200401,"Literature, Science, and the Arts",20,Undergraduate
1200402,"Literature, Science, and the Arts",20,Undergraduate
1200403,"Literature, Science, and the Arts",20,Undergraduate
1200404,"Literature, Science, and the Arts",20,Undergraduate
1200405,Engineering,20,Undergraduate
1200406,"Literature, Science, and the Arts",20,Undergraduate
1200407,"Literature, Science, and the Arts",20,Undergraduate
1200408,"Literature, Science, and the Arts",20,Undergraduate
1200409,"Literature, Science, and the Arts",20,Undergraduate
1200410,"Literature, Science, and the Arts",20,Undergraduate
1200411,"Literature, Science, and the Arts",20,Undergraduate
1200412,Education,20,Undergraduate
1200413,Education,20,Undergraduate
1200414,Medicine,20,Undergraduate
1200415,"Literature, Science, and the Arts",20,Undergraduate
1200416,"Literature, Science, and the Arts",20,Undergraduate
1200417,Education,20,Undergraduate
1200418,"Literature, Science, and the Arts",20,Undergraduate
1200419,Engineering,20,Undergraduate
1200420,"Literature, Science, and the Arts",20,Undergraduate
1200421,"Literature, Science, and the Arts",20,Undergraduate
1200422,"Literature, Science, and the Arts",20,Undergraduate
1200423,"Literature, Science, and the Arts",20,Undergraduate
1200424,"Literature, Science, and the Arts",20,Undergraduate
1200425,"Literature, Science, and the Arts",20,Undergraduate
1200426,"Literature, Science, and the Arts",20,Undergraduate
1200427,Medicine,20,Undergraduate
1200428,"Literature, Science, and the Arts",20,Undergraduate
1200429,"Literature, Science, and the Arts",20,Undergraduate
1200430,"Literature, Science, and the Arts",20,Undergraduate
1200431,"Literature, Science, and the Arts",20,Undergraduate
1200432,Education,20,Undergraduate
1200433,"Literature, Science, and the Arts",20,Undergraduate
1200434,"Literature, Science, and the Arts",20,Undergraduate
1200435,"Literature, Science, and the Arts",20,Undergraduate
1200436,"Literature, Science, and the Arts",20,Undergraduate
1200437,"Literature, Science, and the Arts",20,Undergraduate
1200438,"Literature, Science, and the Arts",20,Undergraduate
1200439,"Literature, Science, and the Arts",20,Undergraduate
1200440,Engineering,20,Undergraduate
1200441,"Literature, Science, and the Arts",20,Undergraduate
1200442,"Literature, Science, and the Arts",20,Undergraduate
1200443,"Literature, Science, and the Arts",20,Undergraduate
1200444,"Literature, Science, and the Arts",20,Undergraduate
1200445,"Literature, Science, and the Arts",20,Undergraduate
1200446,Medicine,20,Undergraduate
1200447,"Literature, Science, and the Arts",20,Undergraduate
1200448,"Literature, Science, and the Arts",20,Undergraduate
1200449,Education,20,Undergraduate
1200450,"Literature, Science, and the Arts",20,Undergraduate
1200451,"Literature, Science, and the Arts",20,Undergraduate
1200452,"Literature, Science, and the Arts",20,Undergraduate
1200453,Education,20,Undergraduate
1200454,Medicine,20,Undergraduate
1200455,"Literature, Science, and the Arts",20,Undergraduate
1200456,Engineering,20,Undergraduate
1200457,"Literature, Science, and the Arts",20,Undergraduate
1200458,"Literature, Science, and the Arts",20,Undergraduate
1200459,Education,20,Undergraduate
1200460,Education,20,Undergraduate
1200461,Engineering,20,Undergraduate
1200462,"Literature, Science, and the Arts",20,Undergraduate
1200463,Engineering,20,Undergraduate
1200464,"Literature, Science, and the Arts",20,Undergraduate
1200465,"Literature, Science, and the Arts",20,Undergraduate
1200466,Engineering,20,Undergraduate
1200467,"Literature, Science, and the Arts",20,Undergraduate
1200468,Education,20,Undergraduate
1200469,"Literature, Science, and the Arts",20,Undergraduate
1200470,"Literature, Science, and the Arts",20,Undergraduate
1200471,Engineering,20,Undergraduate
1200472,"Literature, Science, and the Arts",20,Undergraduate
1200473,Medicine,20,Undergraduate
1200474,Medicine,20,Undergraduate
1200475,"Literature, Science, and the Arts",20,Undergraduate
1200476,"Literature, Science, and the Arts",20,Undergraduate
1200477,"Literature, Science, and the Arts",20,Undergraduate
1200478,"Literature, Science, and the Arts",20,Undergraduate
1200479,Medicine,20,Undergraduate
1200480,"Literature, Science, and the Arts",20,Undergraduate
1200481,"Literature, Science, and the Arts",20,Undergraduate
1200482,"Literature, Science, and the Arts",20,Undergraduate
1200483,"Literature, Science, and the Arts",20,Undergraduate
1200484,Engineering,20,Undergraduate
1200485,"Literature, Science, and the Arts",20,Undergraduate
1200486,"Literature, Science, and the Arts",20,Undergraduate
1200487,"Literature, Science, and the Arts",20,Undergraduate
1200488,Engineering,20,Undergraduate
1200489,"Literature, Science, and the Arts",20,Undergraduate
1200490,Education,20,Undergraduate
1200491,"Literature, Science, and the Arts",20,Undergraduate
1200492,"Literature, Science, and the Arts",20,Undergraduate
1200493,"Literature, Science, and the Arts",20,Undergraduate
1200494,"Literature, Science, and the Arts",20,Undergraduate
1200495,"Literature, Science, and the Arts",20,Undergraduate
1200496,"Literature, Science, and the Arts",20,Undergraduate
1200497,Education,20,Undergraduate
1200498,Education,20,Undergraduate
1200499,"Literature, Science, and the Arts",20,Undergraduate
1200500,Education,20,Undergraduate
1200501,"Literature, Science, and the Arts",20,Undergraduate
1200502,Education,20,Undergraduate
1200503,"Literature, Science, and the Arts",20,Undergraduate
1200504,"Literature, Science, and the Arts",20,Undergraduate
1200505,"Literature, Science, and the Arts",20,Undergraduate
1200506,Engineering,20,Undergraduate
1200507,"Literature, Science, and the Arts",20,Undergraduate
1200508,"Literature, Science, and the Arts",20,Undergraduate
1200509,Medicine,20,Undergraduate
1200510,"Literature, Science, and the Arts",20,Undergraduate
1200511,"Literature, Science, and the Arts",20,Undergraduate
1200512,Engineering,20,Undergraduate
1200513,"Literature, Science, and the Arts",20,Undergraduate
1200514,Education,20,Undergraduate
1200515,"Literature, Science, and the Arts",20,Undergraduate
1200516,"Literature, Science, and the Arts",20,Undergraduate
1200517,"Literature, Science, and the Arts",20,Undergraduate
1200518,"Literature, Science, and the Arts",20,Undergraduate
1200519,Education,20,Undergraduate
1200520,"Literature, Science, and the Arts",20,Undergraduate
1200521,Education,20,Undergraduate
1200522,"Literature, Science, and the Arts",20,Undergraduate
1200523,"Literature, Science, and the Arts",20,Undergraduate
1200524,Medicine,20,Undergraduate
1200525,"Literature, Science, and the Arts",20,Undergraduate
1200526,"Literature, Science, and the Arts",20,Undergraduate
1200527,"Literature, Science, and the Arts",20,Undergraduate
1200528,"Literature, Science, and the Arts",20,Undergraduate
1200529,"Literature, Science, and the Arts",20,Undergraduate
1200530,Education,20,Undergraduate
1200531,"Literature, Science, and the Arts",20,Undergraduate
1200532,"Literature, Science, and the Arts",20,Undergraduate
1200533,Medicine,20,Undergraduate
1200534,"Literature, Science, and the Arts",20,Undergraduate
1200535,Medicine,20,Undergraduate
1200536,Engineering,20,Undergraduate
1200537,"Literature, Science, and the Arts",20,Undergraduate
1200538,"Literature, Science, and the Arts",20,Undergraduate
1200539,"Literature, Science, and the Arts",20,Undergraduate
1200540,"Literature, Science, and the Arts",20,Undergraduate
1200541,"Literature, Science, and the Arts",20,Undergraduate
1200542,Engineering,20,Undergraduate
1200543,"Literature, Science, and the Arts",20,Undergraduate
1200544,"Literature, Science, and the Arts",20,Undergraduate
1200545,"Literature, Science, and the Arts",20,Undergraduate
1200546,Education,20,Undergraduate
1200547,"Literature, Science, and the Arts",20,Undergraduate
1200548,"Literature, Science, and the Arts",20,Undergraduate
1200549,"Literature, Science, and the Arts",20,Undergraduate
1200550,"Literature, Science, and the Arts",20,Undergraduate
1200551,"Literature, Science, and the Arts",20,Undergraduate
1200552,"Literature, Science, and the Arts",20,Undergraduate
1200553,Engineering,20,Undergraduate
1200554,"Literature, Science, and the Arts",20,Undergraduate
1200555,"Literature, Science, and the Arts",20,Undergraduate
1200556,"Literature, Science, and the Arts",20,Undergraduate
1200557,Education,20,Undergraduate
1200558,Engineering,20,Undergraduate
1200559,Education,20,Undergraduate
1200560,Education,20,Undergraduate
1200561,"Literature, Science, and the Arts",20,Undergraduate
1200562,"Literature, Science, and the Arts",20,Undergraduate
1200563,"Literature, Science, and the Arts",20,Undergraduate
1200564,"Literature, Science, and the Arts",20,Undergraduate
1200565,"Literature, Science, and the Arts",20,Undergraduate
1200566,"Literature, Science, and the Arts",20,Undergraduate
1200567,Medicine,20,Undergraduate
1200568,Engineering,20,Undergraduate
1200569,"Literature, Science, and the Arts",20,Undergraduate
1200570,"Literature, Science, and the Arts",20,Undergraduate
1200571,"Literature, Science, and the Arts",20,Undergraduate
1200572,"Literature, Science, and the Arts",20,Undergraduate
1200573,Education,20,Undergraduate
1200574,Engineering,20,Undergraduate
1200575,"Literature, Science, and the Arts",20,Undergraduate
1200576,Engineering,20,Undergraduate
1200577,Engineering,20,Undergraduate
1200578,"Literature, Science, and the Arts",20,Undergraduate
1200579,"Literature, Science, and the Arts",20,Undergraduate
1200580,"Literature, Science, and the Arts",20,Undergraduate
1200581,"Literature, Science, and the Arts",20,Undergraduate
1200582,"Literature, Science, and the Arts",20,Undergraduate
1200583,"Literature, Science, and the Arts",20,Undergraduate
1200584,"Literature, Science, and the Arts",20,Undergraduate
1200585,Education,20,Undergraduate
1200586,"Literature, Science, and the Arts",20,Undergraduate
1200587,"Literature, Science, and the Arts",20,Undergraduate
1200588,Engineering,20,Undergraduate
